resource_id,primary_secondary,author,year,title,resource_type,doi_ISBN,resource_journal,resource_volume_pages
r310,primary,"Hannes, A. R., Barbeitos, M., & Coffroth, M. A.",2009,Stability of symbiotic dinoflagellate type in the octocoral Briareum asbestinum ,article,10.3354/meps07990 ,,
r311,primary,"Gori, A., Bramanti, L., López-González, P., Thoma, J. N., Gili, J. M., Grinyó, J., ... & Rossi, S.",2012,Characterization of the zooxanthellate and azooxanthellate morphotypes of the Mediterranean gorgonian Eunicella singularis ,article,10.1007/s00227-012-1928-3,,
r312,primary,"Singh, A. P., & Mercer, E. H. ",1976,Algal symbiont of a soft coral,article,10.1111/j.1529-8817.1976.tb02875.x,,
r313,primary,"Strychar, K. B., Coates, M., Sammarco, P. W., Piva, T. J., & Scott, P. T.",2005,"Loss of Symbiodinium from bleached soft corals Sarcophyton ehrenbergi, Sinularia sp. and Xenia sp.",article,10.1016/j.jembe.2004.12.039,,
r314,primary,"Lau, Y. W., & Reimer, J. D.",2019,"Zooxanthellate, Sclerite-Free, and Pseudopinnuled Octocoral Hadaka nudidomus gen. nov. et sp. nov. (Anthozoa, Octocorallia) from Mesophotic Reefs of the Southern Ryukyus Islands",article,10.3390/d11100176,,
r315,primary,"Plaza, P. U., Mehrotra, R., Scott, C. M., & Reimer, J. D.",2018,"Rare zooxanthellate Nanipora octocoral (Helioporacea) in the Gulf of Thailand. Mar Biodiv 48, 1961–1967 ",article,10.1007/s12526-017-0705-4,,
r316,primary,"Miyazaki, Y., & Reimer, J. D.",2015,"A new genus and species of octocoral with aragonite calcium-carbonate skeleton (Octocorallia, Helioporacea) from Okinawa, Japan",article,10.3897/zookeys.511.9432,,
r317,primary,"McCauley, M., Banaszak, A.T. & Goulet, T.L. ",2018,"Species traits dictate seasonal-dependent responses of octocoral–algal symbioses to elevated temperature and ultraviolet radiation.Coral Reefs 37, 901–917 ",article,10.1007/s00338-018-1716-8,,
r318,primary,"Ferrier‐Pagès, C., Bednarz, V., Grover, R., Benayahu, Y., Maguer, J. F., Rottier, C., ... & Fine, M.",2019,Symbiotic stony and soft corals: Is their host-algae relationship really mutualistic at lower mesophotic reefs?,article,10.1002/lno.11990,,
r319,primary,"Baker, D. M., Freeman, C. J., Knowlton, N., Thacker, R. W., Kim, K., & Fogel, M. L.",2015,"Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses. ISME J 9, 2620–2629",article,10.1038/ismej.2015.71,,
r320,primary,"Goulet, T. L., Simmons, C., & Goulet, D.",2008,Worldwide biogeography of Symbiodinium in tropical octocorals ,article,10.3354/meps07214 ,,
r321,primary,"LaJeunesse, .T. ",2002,"Diversity and community structure of symbiotic dinoflagellates from Caribbean coral reefs. Marine Biology 141, 387–400",article,10.1007/s00227-002-0829-2,,
r322,primary,"Santos, S.R., Gutierrez-Rodriguez, C. & Coffroth, M. ",2003,"Phylogenetic Identification of Symbiotic Dinoflagellates via Length Heteroplasmy in Domain V of Chloroplast Large Subunit (cp23S)—Ribosomal DNA Sequences . Mar. Biotechnol. 5, 130–140 (2003).",article,10.1007/s10126-002-0076-z,,
r323,primary,"Santos, S. R., Shearer, T. L., Hannes, A. R., & Coffroth, M. A. ",2004,"Fine-scale diversity and specificity in the most prevalent lineage of symbiotic dinoflagellates (Symbiodinium, Dinophyceae) of the Caribbean",article,10.1046/j.1365-294x.2003.02058.x,,
r324,primary,"LaJeunesse, .T. ",2004,"Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients ",article,10.3354/meps284147,,
r325,primary,"Kirk, N. L., Ward, J. R., & Coffroth, M. A.",2005,Stable Symbiodinium Composition in the Sea Fan Gorgonia ventalinaDuring Temperature and Disease Stress,article,10.2307/3593112,,
r326,primary,"Barneah, O., Brickner, I., Hooge, M., Weis, V. M., LaJeunesse, T. C., & Benayahu, Y.",2007,"Three party symbiosis: acoelomorph worms, corals and unicellular algal symbionts in Eilat (Red Sea). Mar Biol 151, 1215–1223",article,10.1007/s00227-006-0563-2,,
r327,primary,"Santodomingo, N., Reyes, J., Flórez, P., Chacón-Gómez, I. C., van Ofwegen, L. P., & Hoeksema, B. W.",2013,Diversity and distribution of azooxanthellate corals in the Colombian Caribbean,article,10.1007/s12526-012-0131-6,,
